epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.50598,1.79075,4.2031,2.19781,0.00348,0.63258,0.00924,0.00348,1.7657,6.02623,2.46006,0.08614,0.00014,0.00014
2,6.47061,1.53377,3.7576,1.96534,0.03953,0.475,0.11143,0.06914,1.40263,3.51891,2.33009,0.07129,0.000289969,0.000289969
3,9.42805,1.2163,2.96305,1.74923,0.24039,0.07955,0.08117,0.0289,2.40876,3.39934,2.78445,0.0564398,0.000439809,0.000439809
4,12.3012,1.00238,2.40487,1.60977,0.89538,0.0947,0.09198,0.04728,1.77935,3.11379,2.3325,0.0415894,0.000589424,0.000589424
5,15.1444,0.87726,2.22741,1.49261,0.37863,0.1117,0.06358,0.02904,1.39564,3.04987,1.95631,0.0267387,0.000738715,0.000738715
6,17.955,0.76918,1.93079,1.41483,0.34909,0.28333,0.20132,0.13361,0.83544,2.28862,1.79666,0.0118876,0.000887587,0.000887587
7,20.809,0.69965,1.76775,1.35636,0.93458,0.13636,0.19129,0.08335,0.97289,2.29724,1.81144,0.000996097,0.000996097,0.000996097
8,23.6096,0.6167,1.63696,1.27065,0.28197,0.36667,0.23385,0.20017,0.62323,1.47624,1.2466,0.00099469,0.00099469,0.00099469
9,26.4383,0.58589,1.54452,1.26142,0.15449,0.7084,0.23903,0.21523,0.45485,1.36511,0.93799,0.000993068,0.000993068,0.000993068
10,29.2876,0.54483,1.43887,1.23609,0.35132,0.325,0.26407,0.2307,0.66929,1.32104,1.16476,0.000991232,0.000991232,0.000991232
11,32.1352,0.49064,1.38842,1.18982,0.17096,0.96667,0.34589,0.29007,0.71071,1.3528,1.56245,0.000989183,0.000989183,0.000989183
12,35.0506,0.4453,1.28156,1.16586,0.16773,1,0.23976,0.19311,0.80779,1.27877,1.27717,0.000986922,0.000986922,0.000986922
13,38.1039,0.46957,1.33615,1.18419,0.14035,0.58333,0.2707,0.21988,0.83843,1.47903,1.77963,0.000984449,0.000984449,0.000984449
14,40.9394,0.44913,1.25644,1.16001,0.74135,0.33333,0.26732,0.2141,0.80564,1.56823,1.47061,0.000981765,0.000981765,0.000981765
15,43.7757,0.41272,1.2932,1.12281,0.43457,0.4,0.21332,0.19026,0.54984,1.72565,1.25762,0.000978873,0.000978873,0.000978873
16,46.5723,0.38201,1.23734,1.10557,0.28477,0.4,0.26552,0.23343,0.62517,1.46271,1.12721,0.000975773,0.000975773,0.000975773
17,49.3614,0.3822,1.27804,1.10704,0.18751,0.45,0.29247,0.26375,0.54968,1.20676,0.84971,0.000972466,0.000972466,0.000972466
18,52.1542,0.35687,1.15746,1.08183,0.3903,0.49167,0.31088,0.27964,0.53286,1.28348,0.81199,0.000968955,0.000968955,0.000968955
19,54.9501,0.39414,1.18286,1.12534,0.49645,0.34167,0.33805,0.28629,0.75735,1.11385,1.16054,0.000965239,0.000965239,0.000965239
20,57.752,0.38405,1.1299,1.09155,0.83724,0.27288,0.35703,0.30201,0.76825,1.14506,1.19582,0.000961322,0.000961322,0.000961322
21,60.5874,0.38451,1.10501,1.10525,0.30919,0.72331,0.37551,0.30606,0.74623,1.1104,1.19574,0.000957205,0.000957205,0.000957205
22,63.4393,0.33431,1.14503,1.06659,0.24938,0.56667,0.37172,0.34206,0.43659,1.03364,0.68369,0.000952889,0.000952889,0.000952889
23,66.2871,0.34626,1.10048,1.06803,0.24967,0.80833,0.37589,0.34235,0.4503,0.99631,0.64748,0.000948377,0.000948377,0.000948377
24,69.1472,0.35567,1.0921,1.07692,0.26358,0.77784,0.3996,0.35967,0.55402,0.93209,0.83601,0.000943671,0.000943671,0.000943671
